County,Line,Facility_Name,Total_Emissions,Facility_Category,City,HoustonGalvestonBrazoria,TCEQ_12,Disaster_County,Harvey,Cause_Code,Event_Type,Event_Start_Date,Based_On,Event_End_Date,Y,X,Event_Start_Time,Event_End_Time,Zip,Total_2017_Events
HOWARD,1,ALON USA BIG SPRING REFINERY,"4,953",REFINERY,BIG SPRING,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,09/05/2017,INITIAL REPORT,09/05/2017,32.269439,-101.421383,3:00:00 AM,1:00:00 PM,79720,13
HARRIS,2,ARKEMA CROSBY PLANT,"13,532",CHEMICAL PRODUCTION,CROSBY,YES,YES,YES,YES,HURRICANE DAMAGE TO FACILITY,EMISSIONS EVENT,09/01/2017,INITIAL REPORT,09/01/2017,29.948842,-95.021864,5:00:00 PM,9:00:00 PM,77532,5
HARRIS,3,ARKEMA CROSBY PLANT,"23,608",CHEMICAL PRODUCTION,CROSBY,YES,YES,YES,YES,HURRICANE DAMAGE TO FACILITY,EMISSIONS EVENT,08/29/2017,FINAL REPORT,08/29/2017,29.948842,-95.021864,12:00:00 PM,6:06:00 PM,77532,5
HARRIS,4,ARKEMA CROSBY PLANT,"2,904",CHEMICAL PRODUCTION,CROSBY,YES,YES,YES,YES,HURRICANE DAMAGE TO FACILITY,EMISSIONS EVENT,09/02/2017,FINAL REPORT,09/02/2017,29.948842,-95.021864,2:17:00 PM,6:17:00 PM,77532,5
HARRIS,5,ARKEMA CROSBY PLANT,"12,308",CHEMICAL PRODUCTION,CROSBY,YES,YES,YES,YES,HURRICANE DAMAGE TO FACILITY,EMISSIONS EVENT,08/31/2017,FINAL REPORT,08/31/2017,29.948842,-95.021864,2:00:00 AM,4:00:00 AM,77532,5
HARRIS,6,ARKEMA CROSBY PLANT,"33,651",CHEMICAL PRODUCTION,CROSBY,YES,YES,YES,YES,HURRICANE DAMAGE TO FACILITY,EMISSIONS EVENT,09/03/2017,FINAL REPORT,09/03/2017,29.948842,-95.021864,3:40:00 PM,7:40:00 PM,77532,5
JEFFERSON,7,BASF BEAUMONT AGRO PLANT,100,INDUST AGRO CHEMICAL PLANT,BEAUMONT,NO,NO,YES,YES,HURRICANE DISRUPTED ABILITY TO OPERATE,EMISSIONS EVENT,08/29/2017,INITIAL REPORT,08/30/2017,29.971389,-94.053333,10:53:00 PM,10:53:00 PM,77705,1
DUVAL,8,BIG COWBOY COMPRESSOR STATION,"113,459",OIL AND GAS PRODUCTION,FREER,NO,NO,NO,NO,OPERATIONAL ISSUE DUE TO OTHER PARTY,EMISSIONS EVENT,08/29/2017,INITIAL REPORT,08/29/2017,27.845573,-98.457122,2:14:00 AM,5:20:00 AM,78357,1
REAGAN,9,BIG LAKE TREATING FACILITY,"1,367",OIL AND GAS PRODUCTION,BIG LAKE,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,08/27/2017,FINAL REPORT,08/27/2017,31.162431,-101.375118,4:50:00 AM,9:26:00 AM,76932,25
REAGAN,10,BIG LAKE TREATING FACILITY,"1,050",OIL AND GAS PRODUCTION,BIG LAKE,NO,NO,NO,NO,FACILITY OPERATIONAL PROBLEM,EMISSIONS EVENT,08/29/2017,INITIAL REPORT,08/30/2017,31.162431,-101.375118,11:47:00 PM,6:15:00 AM,76932,25
