"weight"|"lat"|"lon"|"Location"|"CreatedDate"|"DueDate"|"ClosedDate"|"Priority/TYPE"                                             
1|                             29.89806608|                            -95.56667492|8615 BALLINGER DR, HOUSTON TX 77064|2017-09-06 10:12:00.000|2017-09-06 11:12:00.000|2017-09-07 12:28:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.75291715|                            -95.35737351|1001 AVENIDA DE LAS AMERICAS, HOUSTON TX 77010|2017-09-06 13:41:00.000|2017-09-06 14:41:00.000|2017-09-05 17:30:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.80954119|                            -95.37537112|5515 ENID ST, HOUSTON TX 77009|2017-09-06 15:09:00.000|2017-09-06 16:09:00.000|2017-09-06 17:39:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.67349845|                            -95.49435658|5929 QUEENSLOCH DR 121, HOUSTON TX 77096|2017-09-01 11:27:00.000|2017-09-01 12:27:00.000|2017-09-01 14:42:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.83951518|                            -95.36639467|626 DOVERSIDE ST, HOUSTON TX 77022|2017-09-01 12:04:00.000|2017-09-01 13:04:00.000|2017-09-01 13:33:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.68423032|                            -95.47188585|5162 JASON ST, HOUSTON TX 77096|2017-08-15 07:52:00.000|2017-08-16 07:52:00.000|2017-08-15 09:01:00.000|INVESTIGATION / BITE FOLLOW UP / Priority 3                 
1|                             29.71053884|                            -95.59310647|12135 HIGH STAR DR, HOUSTON TX 77072|2017-08-15 07:59:00.000|2017-08-15 08:59:00.000|2017-08-15 10:06:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.84408237|                            -95.50693697|5295 HOLLISTER ST, HOUSTON TX 77040|2017-08-15 08:08:00.000|2017-08-15 09:08:00.000|2017-08-15 10:51:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.85848547|                            -95.26093796|8830 KENTSHIRE DR, HOUSTON TX 77078|2017-08-31 15:33:00.000|2017-08-31 16:33:00.000|2017-08-31 16:17:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.61182065|                            -95.19544841|10600 SOUTHDOWN TRACE TRL 619, HOUSTON TX 77034|2017-08-31 16:10:00.000|2017-08-31 17:10:00.000|2017-09-01 17:02:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.75910648|                            -95.40616761|3550 W DALLAS ST, HOUSTON TX 77019|2017-08-18 10:24:00.000|2017-08-18 11:24:00.000|2017-08-18 13:05:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             30.05740039|                            -95.18736069|3425 W LAKE HOUSTON PKWY, HOUSTON TX 77339|2017-08-18 10:29:00.000|2017-08-18 11:29:00.000|2017-08-19 16:26:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.90403173|                            -95.15077138|12840 AQUEDUCT RD 1C, HOUSTON TX 77044|2017-09-05 09:41:00.000|2017-09-05 10:41:00.000|2017-09-05 11:41:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.72371529|                            -95.40443501|1821 ALBANS RD, HOUSTON TX 77005|2017-09-05 10:46:00.000|2017-09-05 11:46:00.000|2017-09-05 12:15:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.78196085|                            -95.63778896|303 CAPTAINS WALK, HOUSTON TX 77079|2017-09-05 10:51:00.000|2017-09-05 11:51:00.000|2017-09-05 13:14:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             29.72384708|                            -95.45912455|5415 W LOOP S, HOUSTON TX 77081|2017-09-05 16:46:00.000|2017-09-05 17:46:00.000|2017-09-06 11:10:00.000|INVESTIGATION / BITE / Priority 1                           
1|                             30.04342139|                            -95.18277474|2611 BENS BRANCH DR 1810, HOUSTON TX 77339|2017-09-06 10:52:00.000|2017-09-06 11:52:00.000|2017-09-06 12:15:00.000|INVESTIGATION / BITE / Priority 1                           
