Total_Emissions,City,Harvey,Event_Type,Event_Start_Date,Y,X,Zip,Total_2017_Events
"4,953",BIG SPRING,NO,EMISSIONS EVENT,9/5/2017,32.269439,-101.421383,79720,13
"13,532",CROSBY,YES,EMISSIONS EVENT,9/1/2017,29.948842,-95.021864,77532,5
"23,608",CROSBY,YES,EMISSIONS EVENT,8/29/2017,29.948842,-95.021864,77532,5
"2,904",CROSBY,YES,EMISSIONS EVENT,9/2/2017,29.948842,-95.021864,77532,5
"12,308",CROSBY,YES,EMISSIONS EVENT,8/31/2017,29.948842,-95.021864,77532,5
"33,651",CROSBY,YES,EMISSIONS EVENT,9/3/2017,29.948842,-95.021864,77532,5
100,BEAUMONT,YES,EMISSIONS EVENT,8/29/2017,29.971389,-94.053333,77705,1
"113,459",FREER,NO,EMISSIONS EVENT,8/29/2017,27.845573,-98.457122,78357,1
"1,367",BIG LAKE,NO,EMISSIONS EVENT,8/27/2017,31.162431,-101.375118,76932,25
"1,050",BIG LAKE,NO,EMISSIONS EVENT,8/29/2017,31.162431,-101.375118,76932,25
"4,040",BIG LAKE,NO,EMISSIONS EVENT,9/3/2017,31.162431,-101.375118,76932,25
157,FREEPORT,YES,EMISSIONS EVENT,8/28/2017,28.969389,-95.379528,77541,5
153,FREEPORT,YES,EMISSIONS EVENT,9/1/2017,28.986667,-95.379167,77541,5
"3,239",BORGER,NO,EMISSIONS EVENT,8/23/2017,35.697188,-101.365324,79008,18
"13,178",STANTON,YES,EMISSIONS EVENT,8/29/2017,32.189781,-102.004536,78792,5
"3,092",GOLDSMITH,NO,EMISSIONS EVENT,8/23/2017,32.097221,-102.725294,79741,5
691,PASADENA,YES,EMISSIONS EVENT,8/27/2017,29.622406,-95.063369,77507,7
235,PASADENA,YES,AIR STARTUP,8/30/2017,29.622406,-95.063369,77507,7
"2,183",BORGER,NO,EMISSIONS EVENT,8/25/2017,35.702869,-101.361716,79007,3
"745,229",BAYTOWN,YES,AIR SHUTDOWN,8/27/2017,29.826,-94.921917,77521,6
243,BAYTOWN,YES,EMISSIONS EVENT,8/26/2017,29.826,-94.921917,77521,6
"34,591",PORT ARTHUR,YES,AIR SHUTDOWN,8/30/2017,29.848998,-93.976534,77640,7
"11,789",OLD OCEAN,NO,EMISSIONS EVENT,8/24/2017,29.082434,-95.740995,77463,10
"222,726",OLD OCEAN,YES,AIR SHUTDOWN,8/27/2017,29.082434,-95.740995,77463,10
"91,120",ALVIN,YES,EMISSIONS EVENT,9/5/2017,29.230308,-95.20105,77511,5
"104,530",ALVIN,YES,EMISSIONS EVENT,9/6/2017,29.230308,-95.20105,77511,5
"8,521",CORPUS CHRISTI,YES,EMISSIONS EVENT,8/24/2017,27.813375,-97.496165,78409,3
