"weight"|"lat"|"lon"|"Location"|Create Date|Closed Date|Due Date|CaseType|Case Number
1|29.55909274|-95.12067185|1131 RAMADA, HOUSTON TX 77062|2018-09-12 18:41:14.727|2018-09-13 09:49:36.097|2018-09-16 18:41:14.000|Flooding|12288501-101003183660
1|29.59488929|-95.22910623|10807 SAGEWIND, HOUSTON TX 77089|2018-12-27 11:03:03.180|2018-12-28 09:32:21.820|2018-12-31 11:03:03.000|Flooding|12322198-101003312849
1|29.60230435|-95.46446993|Intersection 5500 GLENRIDGE CT&15500 S POST OAK RD|2018-07-08 13:19:52.713|2018-07-09 15:20:13.103|2018-07-12 13:19:52.000|Flooding|12266941-101003095920
1|29.60320798|-95.23242164|11402 KIRKHOLLOW, HOUSTON TX 77089|2018-07-04 11:01:14.893|2018-07-05 17:30:10.313|2018-07-08 11:01:14.000|Flooding|12265249-101003091191
1|29.60328115|-95.22863668|Intersection 11300 BEAMER RD&11600 KIRKHOLLOW DR|2018-07-04 09:58:52.223|2018-07-05 17:35:10.283|2018-07-08 09:57:00.000|Flooding|12265150-101003091065
1|29.60792635|-95.42699619|15107 ALROVER, HOUSTON TX 77053|2018-02-10 09:50:35.943|2018-02-13 07:35:18.017|2018-02-14 09:50:35.000|Flooding|12220105-101002915307
1|29.6083794|-95.27453608|Intersection 10900 ARENDALE ST&8120 SPRINGTIME LN|2018-06-14 14:01:15.983|2018-06-18 14:19:34.000|2018-06-18 14:01:15.000|Flooding|12259310-101003067464
1|29.60929497|-95.24578979|9555 MISTY VALE, HOUSTON TX 77075|2018-05-21 19:04:01.543|2018-05-22 13:50:09.290|2018-05-25 19:04:01.000|Flooding|12252604-101003038126
1|29.60971648|-95.21965992|11541 SABO, HOUSTON TX 77089|2018-07-04 09:45:07.477|2018-07-05 11:10:11.000|2018-07-08 09:45:07.000|Flooding|12265143-101003091051
1|29.61145741|-95.28406407|7733 KAREN ROSE, HOUSTON TX 77075|2018-05-08 09:18:51.490|2018-05-08 12:05:09.270|2018-05-12 09:18:51.000|Flooding|12248639-101003020612
1|29.6114658|-95.28359227|7783 KAREN ROSE, HOUSTON TX 77075|2018-11-02 01:15:01.713|2018-11-05 09:14:20.180|2018-11-06 01:15:01.000|Flooding|12304847-101003246966
1|29.6114658|-95.28359227|7783 KAREN ROSE, HOUSTON TX 77075|2018-11-02 01:15:02.080|2018-11-02 01:17:46.250|2018-11-06 01:15:01.000|Flooding|12304847-101003246967
1|29.6114658|-95.28359227|7783 KAREN ROSE, HOUSTON TX 77075|2018-11-02 01:15:03.117|2018-11-02 01:17:48.497|2018-11-06 01:15:03.000|Flooding|12304847-101003246968
1|29.61218075|-95.22302234|Intersection 11000 FUQUA ST&10900 SABO RD|2018-07-04 10:40:35.953|2018-07-05 17:35:10.247|2018-07-08 10:40:35.000|Flooding|12265200-101003091135
1|29.61736085|-95.44562323|14323 HIRAM CLARKE, HOUSTON TX 77045|2018-02-10 06:05:39.083|2018-02-13 10:35:18.433|2018-02-14 06:05:38.000|Flooding|12219957-101002915069
1|29.62017073|-95.47804681|6227 PADDINGTON, HOUSTON TX 77085|2018-12-27 10:56:51.547|2018-12-28 09:52:23.030|2018-12-31 10:56:51.000|Flooding|12322186-101003312823
1|29.62017465|-95.47827304|6303 PADDINGTON, HOUSTON TX 77085|2019-01-03 21:45:38.350|2019-01-04 10:32:16.530|2019-01-07 21:45:38.000|Flooding|12324424-101003323012
1|29.62034082|-95.47738303|6215 PADDINGTON, HOUSTON TX 77085|2018-12-27 11:15:21.320|2018-12-28 09:32:21.990|2018-12-31 11:15:21.000|Flooding|12322208-101003312892
1|29.62034082|-95.47738303|6215 PADDINGTON, HOUSTON TX 77085|2019-01-03 14:00:17.943|2019-01-03 15:17:16.420|2019-01-07 14:00:17.000|Flooding|12324268-101003322271
1|29.62034082|-95.47738303|6215 PADDINGTON, HOUSTON TX 77085|2019-01-04 08:18:42.080|2019-01-04 10:47:16.680|2019-01-08 08:18:41.000|Flooding|12324461-101003323152
1|29.62044454|-95.47719254|6211 PADDINGTON, HOUSTON TX 77085|2018-12-27 17:14:01.580|2018-12-28 09:27:37.667|2018-12-31 17:14:01.000|Flooding|12322527-101003313915
1|29.62044454|-95.47719254|6211 PADDINGTON, HOUSTON TX 77085|2019-01-03 09:02:36.347|2019-01-03 10:17:16.380|2019-01-07 09:02:36.000|Flooding|12324052-101003321351
1|29.6207006|-95.4777998|6218 PADDINGTON, HOUSTON TX 77085|2019-01-03 11:44:36.347|2019-01-03 15:12:16.243|2019-01-07 11:44:36.000|Flooding|12324160-101003321860
1|29.62074513|-95.47761839|6214 PADDINGTON, HOUSTON TX 77085|2018-12-28 10:16:19.620|2018-12-28 22:47:23.227|2019-01-01 10:16:19.000|Flooding|12322724-101003314852
1|29.62086373|-95.47688668|6203 PADDINGTON, HOUSTON TX 77085|2018-12-27 16:01:40.110|2018-12-28 09:27:37.677|2018-12-31 16:01:39.000|Flooding|12322497-101003313751
1|29.62123539|-95.47700897|Intersection 14100 CARADINE ST&6200 HEATHERBROOK DR&6200 PAD|2019-01-03 07:26:51.570|2019-01-03 10:12:16.820|2019-01-07 07:26:51.000|Flooding|12324017-101003321149
1|29.62123539|-95.47700897|Intersection 14100 CARADINE ST&6200 HEATHERBROOK DR&6200 PAD|2019-01-03 09:06:32.727|2019-01-03 09:07:36.490|2019-01-07 09:04:00.000|Flooding|12324017-101003321361
1|29.62624275|-95.51849329|Intersection 16100 MAIN ST&0 S SAM HOUSTON PKWY W|2018-04-14 08:42:10.420|2018-04-16 06:15:03.073|2018-04-18 08:42:10.000|Flooding|12242222-101002990769
1|29.62759551|-95.50186673|12402 ZAVALLA, HOUSTON TX 77085|2018-02-10 09:12:37.400|2018-02-13 10:40:18.417|2018-02-14 09:12:37.000|Flooding|12220064-101002915243
1|29.6280065|-95.36609601|12506 CLAYGATE, HOUSTON TX 77047|2018-07-05 16:28:38.530|2018-07-06 10:00:11.113|2018-07-09 16:28:38.000|Flooding|12266187-101003093360
1|29.63282077|-95.36085051|4222 MADDEN, HOUSTON TX 77047|2018-07-05 16:52:03.100|2018-07-06 10:00:10.970|2018-07-09 16:52:02.000|Flooding|12266202-101003093413
1|29.63363247|-95.45019755|Intersection 13300 PLAYER ST&4712 TIDEWATER DR|2018-12-27 14:20:48.333|2018-12-28 11:27:20.110|2018-12-31 14:20:48.000|Flooding|12322405-101003313468
1|29.63710815|-95.41076747|12112 ALMEDA, HOUSTON TX 77045|2018-07-06 12:31:54.490|2018-07-09 11:55:13.637|2018-07-10 12:31:54.000|Flooding|12266499-101003094507
1|29.63710815|-95.41076747|12112 ALMEDA, HOUSTON TX 77045|2018-10-31 17:06:55.937|2018-11-02 13:29:21.743|2018-11-04 17:06:55.000|Flooding|12303996-101003244607
1|29.63731562|-95.42385195|3102 BROOKSTON, HOUSTON TX 77045|2018-07-04 14:39:21.650|2018-07-05 19:10:10.433|2018-07-08 14:39:21.000|Flooding|12265515-101003091562
1|29.64080611|-95.23905193|Intersection 8100 MINNESOTA ST&9900 NEY ST|2018-06-14 16:06:28.287|2018-06-18 14:19:33.917|2018-06-18 16:06:28.000|Flooding|12259392-101003067824
1|29.64117802|-95.24301139|Intersection 1156 EDGEBROOK DR&0 GULF FWY|2018-07-04 14:27:46.183|2018-07-05 11:05:10.497|2018-07-08 14:27:45.000|Flooding|12265506-101003091546
1|29.64131744|-95.44424434|Intersection 4400 W AIRPORT BLVD&12840 DELSANTOS ST&12800 GL|2019-01-23 07:36:13.420|2019-01-23 13:17:00.673|2019-01-27 07:36:13.000|Flooding|12330834-101003348355
1|29.64161289|-95.40088584|11900 OAKMOOR, HOUSTON TX 77045|2018-09-18 08:16:43.857|2018-09-19 09:29:35.393|2018-09-22 08:16:43.000|Flooding|12290154-101003189619
1|29.64272512|-95.54431907|9526 RAVENSWORTH, HOUSTON TX 77031|2018-07-05 09:00:44.120|2018-07-05 15:05:10.513|2018-07-09 09:00:44.000|Flooding|12265814-101003092165
1|29.64297788|-95.54399612|12506 MILLBANKS, HOUSTON TX 77031|2018-07-04 12:31:30.517|2018-07-05 14:05:10.307|2018-07-08 12:31:30.000|Flooding|12265396-101003091397
1|29.64408338|-95.54300773|12518 CHESSINGTON, HOUSTON TX 77031|2018-02-19 08:18:23.667|2018-02-21 06:20:05.070|2018-02-23 08:18:23.000|Flooding|12223420-101002924397
1|29.64693251|-95.24602508|Intersection 1300 REGAL ST&2318 SUSAN ST|2018-05-22 21:29:42.993|2018-05-24 09:35:10.200|2018-05-26 21:29:42.000|Flooding|12253053-101003040022
1|29.64768594|-95.35620116|Intersection 4700 AIRPORT BLVD&10200 CULLEN BLVD|2018-08-25 12:25:56.637|2018-08-25 12:39:44.030|2018-08-29 12:25:56.000|Flooding|12282506-101003159240
1|29.64813549|-95.49079681|5838 DUXBURY, HOUSTON TX 77035|2018-02-01 14:26:09.933|2018-02-02 07:40:11.073|2018-02-05 14:26:09.000|Flooding|12216704-101002904837
1|29.64815002|-95.26478883|8377 MONROE, HOUSTON TX 77061|2018-10-01 01:25:45.100|2018-10-01 08:49:33.247|2018-10-05 01:25:45.000|Flooding|12294222-101003205239
1|29.64902484|-95.48873149|Intersection 5740 LUDINGTON DR&11900 MCCLEAREN DR|2018-10-31 16:42:52.673|2018-11-02 10:59:20.570|2018-11-04 16:42:52.000|Flooding|12303973-101003244563
1|29.64999832|-95.43096509|12402 BUFFALO, HOUSTON TX 77045|2018-12-12 09:51:00.707|2018-12-12 09:55:05.687|2018-12-16 09:51:00.000|Flooding|101003294052
1|29.65110751|-95.2459559|1431 LASKEY, HOUSTON TX 77034|2018-05-22 11:52:04.147|2018-05-22 14:05:09.277|2018-05-26 11:52:04.000|Flooding|12252804-101003039012
1|29.65195821|-95.49399264|5915 BEAUDRY, HOUSTON TX 77035|2018-11-01 01:08:03.287|2018-11-02 08:39:20.357|2018-11-05 01:08:03.000|Flooding|12304127-101003244887
1|29.65218694|-95.50079851|11734 BOB WHITE, HOUSTON TX 77035|2018-02-10 14:33:20.170|2018-02-14 10:25:19.123|2018-02-14 14:33:19.000|Flooding|12220320-101002915649
1|29.65218694|-95.50079851|11734 BOB WHITE, HOUSTON TX 77035|2018-03-29 16:31:21.470|2018-03-30 14:35:10.360|2018-04-02 16:31:21.000|Flooding|12237590-101002971787
1|29.65262573|-95.50080801|11718 BOB WHITE, HOUSTON TX 77035|2018-03-29 09:00:34.283|2018-03-30 06:40:10.463|2018-04-02 09:00:34.000|Flooding|12237278-101002970743
1|29.65262573|-95.50080801|11718 BOB WHITE, HOUSTON TX 77035|2018-03-30 07:12:17.913|2018-04-03 07:50:04.553|2018-04-03 07:12:17.000|Flooding|12237657-101002972037
1|29.65262573|-95.50080801|11718 BOB WHITE, HOUSTON TX 77035|2018-04-04 00:13:05.400|2018-04-05 12:35:06.370|2018-04-08 00:13:02.000|Flooding|12239100-101002977268
1|29.65273559|-95.50081036|11710 BOB WHITE, HOUSTON TX 77035|2018-02-10 15:45:26.437|2018-02-14 10:30:19.097|2018-02-14 15:45:26.000|Flooding|12220356-101002915723
1|29.65284544|-95.50081276|11714 BOB WHITE, HOUSTON TX 77035|2018-02-10 13:16:44.263|2018-02-14 10:25:19.037|2018-02-14 13:16:44.000|Flooding|12220277-101002915580
1|29.65284544|-95.50081276|11714 BOB WHITE, HOUSTON TX 77035|2018-03-29 09:36:11.033|2018-03-30 06:40:10.497|2018-04-02 09:36:10.000|Flooding|12237313-101002970842
1|29.65284544|-95.50081276|11714 BOB WHITE, HOUSTON TX 77035|2018-04-04 05:52:31.747|2018-04-05 12:40:06.460|2018-04-08 05:52:31.000|Flooding|12239112-101002977317
1|29.65400493|-95.50056452|Intersection 11500 BOB WHITE DR&6224 QUAIL MEADOW DR|2018-03-29 09:14:15.730|2018-03-30 12:20:11.300|2018-04-02 09:14:15.000|Flooding|12237292-101002970772
1|29.65421419|-95.50037897|6246 QUAIL MEADOW, HOUSTON TX 77035|2018-03-29 10:10:23.337|2018-03-30 06:40:10.540|2018-04-02 10:10:23.000|Flooding|12237348-101002970952
1|29.65597767|-95.4951774|6003 WARM SPRINGS, HOUSTON TX 77035|2018-02-10 10:07:36.410|2018-02-12 12:05:18.260|2018-02-14 10:07:36.000|Flooding|12220119-101002915330
1|29.65646345|-95.49577883|6014 WARM SPRINGS, HOUSTON TX 77035|2018-07-04 12:31:51.860|2018-07-05 14:10:10.407|2018-07-08 12:31:51.000|Flooding|12265397-101003091398
1|29.66041702|-95.58381009|11622 BROOKLEDGE, HOUSTON TX 77099|2018-12-16 19:17:17.750|2018-12-17 09:39:19.723|2018-12-20 19:17:17.000|Flooding|12318923-101003299558
1|29.66115235|-95.45658846|4702 REDSTART, HOUSTON TX 77035|2018-07-05 22:55:36.787|2018-07-09 15:15:12.850|2018-07-09 22:55:36.000|Flooding|12266297-101003093748
1|29.66159948|-95.42630652|Intersection 12000 BUFFALO SPEEDWAY&800 HOLMES RD|2018-12-13 08:34:11.477|2018-12-13 13:09:19.497|2018-12-17 08:34:11.000|Flooding|12317873-101003295368
1|29.66163214|-95.47086093|5210 REDSTART, HOUSTON TX 77035|2018-11-05 14:54:04.770|2018-11-06 13:34:21.660|2018-11-09 14:54:04.000|Flooding|12305924-101003250553
1|29.66224304|-95.49035731|10814 RAMPART, HOUSTON TX 77096|2018-10-31 16:17:49.907|2018-11-02 11:09:21.240|2018-11-04 16:17:49.000|Flooding|12303945-101003244510
1|29.66317382|-95.55564995|Intersection 10100 S US 59 HWY&6 W BW 8 S - S US 59 IB RAMP|2018-06-20 17:38:08.247|2018-06-21 10:20:10.180|2018-06-24 17:38:08.000|Flooding|12261070-101003074859
1|29.66358505|-95.40419162|9700 FANNIN, HOUSTON TX 77045|2019-01-02 21:37:10.367|2019-01-03 13:07:17.273|2019-01-06 21:37:10.000|Flooding|12323971-101003320973
1|29.66364549|-95.47199393|5154 W BELLFORT, HOUSTON TX 77096|2018-10-19 17:37:23.750|2018-10-22 07:29:21.173|2018-10-23 17:36:00.000|Flooding|12300448-101003230127
1|29.66389235|-95.47265639|Intersection 5258 BRIARBEND DR&11000 CEDARHURST DR|2018-07-08 13:11:41.910|2018-07-09 13:15:12.870|2018-07-12 13:11:41.000|Flooding|12266937-101003095914
1|29.66551396|-95.4898071|Intersection 5800 CREEKBEND DR&10600 RAMPART ST|2018-10-01 23:59:27.097|2018-10-03 10:49:34.353|2018-10-05 23:59:26.000|Flooding|12294643-101003206851
1|29.66553316|-95.4575963|4718 WAYCROSS, HOUSTON TX 77035|2018-04-07 09:14:23.570|2018-04-07 09:35:06.973|2018-04-11 09:14:23.000|Flooding|12240184-101002982361
1|29.66554454|-95.41313947|Intersection 1600 HOLMES RD&9400 KIRBY DR|2018-02-10 15:58:59.410|2018-02-13 11:35:18.480|2018-02-14 15:58:59.000|Flooding|12220364-101002915737
1|29.66554454|-95.41313947|Intersection 1600 HOLMES RD&9400 KIRBY DR|2018-12-27 07:40:34.487|2018-12-27 15:02:20.527|2018-12-31 07:40:34.000|Flooding|101003312201
1|29.66572939|-95.4692046|Intersection 5100 W BELLFORT AVE&5200 WILLOWBEND BLVD|2018-07-04 11:37:45.837|2018-07-04 20:10:09.797|2018-07-08 11:37:45.000|Flooding|12265305-101003091278
1|29.66575361|-95.4895776|5754 CREEKBEND, HOUSTON TX 77096|2018-07-10 01:41:14.530|2018-07-10 13:05:13.577|2018-07-14 01:41:14.000|Flooding|12267501-101003097905
1|29.66629414|-95.47347475|5303 WILLOWBEND, HOUSTON TX 77096|2018-11-01 01:08:08.840|2018-11-02 13:14:20.723|2018-11-05 01:08:08.000|Flooding|12304129-101003244892
1|29.66688092|-95.36067354|4429 DAVENPORT, HOUSTON TX 77051|2018-02-10 10:35:41.473|2018-02-13 14:45:18.220|2018-02-14 10:35:41.000|Flooding|12220136-101002915359
1|29.66804358|-95.2841318|7654 DROUET, HOUSTON TX 77061|2018-07-04 10:52:32.710|2018-07-05 11:05:10.650|2018-07-08 10:52:32.000|Flooding|12265218-101003091164
1|29.66813051|-95.48281798|5606 LYMBAR, HOUSTON TX 77096|2018-07-04 12:19:01.440|2018-07-04 18:05:09.583|2018-07-08 12:19:01.000|Flooding|12265373-101003091369
1|29.66813474|-95.46273038|Intersection 10100 W IH 610 LOOP S&10500 S POST OAK RD|2018-12-07 20:36:05.060|2018-12-10 09:19:20.070|2018-12-11 20:36:04.000|Flooding|12316104-101003288701
1|29.66815758|-95.26349291|8627 GLENLEA, HOUSTON TX 77061|2018-06-21 01:28:46.753|2018-06-21 11:55:09.963|2018-06-25 01:28:46.000|Flooding|12261152-101003075082
1|29.66826639|-95.44896702|Intersection 10418 GREENWILLOW DR&4300 MCDERMED DR|2018-07-04 13:07:03.173|2018-07-04 18:05:09.513|2018-07-08 13:07:03.000|Flooding|12265434-101003091443
1|29.66856573|-95.32872763|Intersection 7740 CRESTMONT ST&6000 RIDGEWAY DR|2018-07-04 13:24:16.690|2018-07-04 20:15:09.790|2018-07-08 13:24:16.000|Flooding|12265452-101003091466
1|29.66892836|-95.48479326|5638 CHEENA, HOUSTON TX 77096|2018-12-07 22:51:21.900|2018-12-10 11:34:20.010|2018-12-11 22:51:21.000|Flooding|12316141-101003288795
1|29.66898389|-95.32981408|5955 RIDGEWAY, HOUSTON TX 77033|2018-07-04 13:27:56.987|2018-07-05 08:45:10.460|2018-07-08 13:27:56.000|Flooding|12265453-101003091474
1|29.66978059|-95.48283947|5602 WIGTON, HOUSTON TX 77096|2018-07-08 13:13:56.257|2018-07-09 15:25:13.113|2018-07-12 13:13:56.000|Flooding|12266939-101003095917
